ts,indodax_btc_bid,indodax_btc_ask,indodax_usdt_bid,indodax_usdt_ask,binance_btc_bid,binance_btc_ask,usd_idr,btc_premium,usdt_premium
2026-09-07T20:40:48+00:00,1397017000.0,1397505000.0,17634.0,17635.0,79218.66,79218.67,17655.311494,-0.00097896263591557,-0.001178766741502968
2026-09-07T22:59:28+00:00,1391831000.0,1393731000.0,17630.0,17631.0,78950.47,78950.48,17655.311494,-0.0007993633246593523,-0.0014053274567504825
2026-09-08T00:59:33+00:00,1396142000.0,1397074000.0,17609.0,17619.0,79302.54,79302.55,17654.405206,-0.0024508336208862724,-0.0022886755757859367
2026-09-08T05:41:56+00:00,1385589000.0,1385590000.0,17588.0,17589.0,78689.99,78690.0,17654.405206,-0.002616967905077261,-0.0037330742798177274
2026-09-08T10:05:16+00:00,1382319000.0,1383962000.0,17557.0,17560.0,78720.26,78720.27,17654.405206,-0.004762663210536533,-0.005432366872796468
2026-09-08T14:30:47+00:00,1379101000.0,1379991000.0,17600.0,17601.0,78310.24,78310.25,17654.405206,-0.002151719538372565,-0.0030533572426263422
2026-09-08T18:04:46+00:00,1382552000.0,1383201000.0,17587.0,17594.0,78532.87,78532.88,17654.405206,-0.002578307299425875,-0.003619788106952515
2026-09-08T21:06:18+00:00,1382560000.0,1383560000.0,17595.0,17609.0,78537.99,78538.0,17654.405206,-0.0025109869241888294,-0.002968392612977322
2026-09-08T23:22:16+00:00,1385426000.0,1385427000.0,17598.0,17621.0,78454.19,78454.2,17654.405206,0.0002630577695148517,-0.0025435694647326645
2026-09-09T01:19:46+00:00,1386500000.0,1386501000.0,17598.0,17600.0,78663.99,78664.0,17628.616805,-0.00017085008401773738,-0.0016800413400330783
2026-09-09T06:11:57+00:00,1385183000.0,1387244000.0,17523.0,17524.0,79076.09,79076.1,17628.616805,-0.0055872776371644894,-0.005962850413209209
2026-09-09T11:20:28+00:00,1381001000.0,1382050000.0,17505.0,17511.0,78826.0,78826.01,17628.616805,-0.005805968999705757,-0.006842102607040101
2026-09-09T15:12:36+00:00,1375000000.0,1375001000.0,17522.0,17523.0,78338.63,78338.64,17628.616805,-0.0043455971887875755,-0.00601957636119832
